"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1600020E01Rik",0.0194966474025069,0.011172475084111,0.0121934720108236,0.00884955752212389,0,0.0399408284023669,0.00987911536735485,0.00675675675675676,0.0575510204081633,0.0529850746268657,0.0987326849395815
"1700001C02Rik",0,0,0,0,0,0,0.00284291089708053,0,1.65061224489796,0,0
"1700001G11Rik",0.000585479926251377,0.011172475084111,0.00409831444839055,0,0,0.0232459847844463,0.00638994990384869,0,0,0.00497512437810945,0.00854700854700855
"1700001G17Rik",0.000195236232123355,0.0224719101123595,0,0.0175410872313527,0,0,0.000712250712250712,0,0,0,0
"1700001L19Rik",0,0.00561797752808989,0.00136986301369863,0.0796460176991151,0,0,0,0.0134215848501563,0.409795918367347,0,0.0251989389920424
"1700001O22Rik",0.000292825751920196,0.0220910302799467,0.00684179867335626,0,0,0,0.00142348609918104,0,0,0,0.0169466548776894
"1700003D09Rik",0.00039039620754048,0.0220910302799467,0,0,0,0,0.000712250712250712,0.0335999264570693,0,0,0
"1700003E16Rik",0.00311889928477501,0.00561797752808989,0.00409831444839055,0.0260745891276865,0,0,0.00707681748308976,0.0134215848501563,0.107755102040816,0,0
"1700003F12Rik",0.00039039620754048,0,0,0,0.015625,0,0.0287352295549017,0.00675675675675676,0,0,0
"1700003M02Rik",9.76276481499561e-05,0,0,0.00884955752212389,0,0,0,0,0.426122448979592,0,0
"1700007G11Rik",0.000390510592599824,0.00561797752808989,0.00136986301369863,0.00884955752212389,0,0,0,0,0.822857142857143,0,0
"1700007K13Rik",0.000780754286727846,0,0,0.0353982300884956,0,0.00591715976331361,0.0196140545392149,0,0.975102040816326,0,0
"1700007L15Rik",0.000780754286727846,0.00561797752808989,0,0.00884955752212389,0.015625,0.0288813750352212,0.00142348609918104,0,0.08,0.00497512437810945,0.00854700854700855
"1700008J07Rik",0.00447285616805133,0.0166634926680632,0.0203487607343518,0.052307206068268,0.015625,0,0.0233377601517302,0.00675675675675676,0.0391836734693878,0.0247761194029851,0
"1700008O03Rik",0.0109641320291073,0.011172475084111,0.0217599639213033,0.0344500632111252,0,0.0236686390532544,0.00496443315402688,0,0.0391836734693878,0.00497512437810945,0
"1700010I14Rik",0,0.00561797752808989,0,0.0260745891276865,0,0.0117638771484925,0.00640213380769332,0.00675675675675676,0,0,0
"1700010K23Rik",0.00301759225054949,0.0274550879197613,0.00816280511866509,0.00884955752212389,0,0,0.00213370616079098,0,0,0,0
"1700010K24Rik",0.00165768734418729,0,0.00273596782982881,0.0175410872313527,0,0,0.00213370616079098,0,0,0,0
"1700011I03Rik",0.000195236232123355,0,0,0.00884955752212389,0,0,0.0126996891073869,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,2.4065306122449,0,0.00854700854700855
"1700012C14Rik",0.000878267549818459,0,0.00136986301369863,0,0,0,0,0,0,0,0
"1700013F07Rik",9.76276481499561e-05,0.00561797752808989,0,0,0,0,0.000712250712250712,0,0.318775510204082,0,0
"1700015F17Rik",0.00146294678065443,0,0.00684179867335626,0,0,0,0,0,0,0,0
"1700016A09Rik",0.00214557775064183,0,0,0,0,0,0.000712250712250712,0,0,0,0
"1700016K19Rik",0,0,0,0,0,0,0,0,4.61224489795918,0,0
"1700016P03Rik",0.00126767242017796,0,0,0,0,0,0.00213370616079098,0,0.02,0,0
"1700017B05Rik",0.00389572635113205,0.011172475084111,0.00955521731777439,0.00884955752212389,0.0595238095238095,0,0.0112741723575651,0.0134215848501563,0.0983673469387755,0,0
"1700018A04Rik",9.76276481499561e-05,0,0.00136986301369863,0,0,0,0,0,0,0.0291044776119403,0
"1700018L02Rik",0.00292267171547067,0.00561797752808989,0.00409831444839055,0.00884955752212389,0,0.00591715976331361,0.00284291089708053,0,0,0.00497512437810945,0.0169466548776894
"1700019A02Rik",0.000683221959460677,0,0.00136986301369863,0,0,0,0.000712250712250712,0,0,0,0
"1700019D03Rik",0.0385851879774516,0,0.00136986301369863,0.149336283185841,0.015625,0.0344463229078614,0.0469872251768189,0.0264754550468836,0.02,0.00497512437810945,0
"1700019G17Rik",9.76276481499561e-05,0,0.00273596782982881,0,0,0,0.0393067967907597,0.0453667953667954,0.0391836734693878,0.00990049751243781,0.0169466548776894
"1700019G24Rik",0,0,0,0,0,0,0.0078154666536705,0.00675675675675676,0.191428571428571,0,0
"1700019L03Rik",0.000487947598984207,0,0.00136986301369863,0,0,0,0,0,0.273061224489796,0,0
"1700020D05Rik",9.76276481499561e-05,0,0,0,0,0.00591715976331361,0.000712250712250712,0.00675675675675676,0,0,0
"1700020I14Rik",1.71271925447326,19.6296578429506,1.75652329142943,16.3304361567636,0.954117063492063,0.344885883347422,0.344221174406492,0.195440338297481,0.507755102040816,0.951791044776119,0.334364868847628
"1700020L24Rik",0.000877962522993541,0,0.0109062893436308,0,0,0.0175401521555368,0.000712250712250712,0,0,0,0
"1700021F05Rik",0.0667323580062478,0.350949025582429,0.129064020895578,0.379424778761062,0.015625,0.119047619047619,0.188734254842594,0.197600661886376,0.0751020408163265,0.0764179104477612,0.251989389920424
"1700021J08Rik",9.76276481499561e-05,0,0,0,0,0,0.000712250712250712,0,0,0,0
"1700021K19Rik",0.029613205206053,0.129784802894687,0.0514516038108123,0.145227560050569,0.0307539682539683,0.0560016906170752,0.0300267233624326,0.00675675675675676,0.0391836734693878,0.0429850746268657,0.0333038608900678
"1700022I11Rik",0.00301873610114293,0.0327556655875071,0.00409831444839055,0.0175410872313527,0,0.00591715976331361,0.0113046321171767,0,0.0391836734693878,0,0.00854700854700855
"1700023F06Rik",0.0802273738583966,0.00561797752808989,0.0307213860232632,0.0842288242730721,0.015625,0.0117638771484925,0.0300267233624326,0.0134215848501563,0,0.0147761194029851,0.0251989389920424
"1700024B18Rik",0.00185235165101393,0,0,0,0,0.00591715976331361,0,0,0.02,0,0
"1700024P16Rik",0.000292825751920196,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",0.465194523327241,0.129372183076239,0.0283837871356897,1.34702907711757,0.0863095238095238,0.311496196111581,0.321083941005538,0.137892995035852,0.436326530612245,0.0296019900497512,0.0739758325965223
"1700026D08Rik",0.000292825751920196,0.0440551006157557,0.00273596782982881,0,0,0,0,0,3.03714285714286,0,0
"1700026J14Rik",0,0,0.00136986301369863,0,0,0,0.00213370616079098,0.00675675675675676,0.02,0,0
"1700027A07Rik",0.00117027354214669,0,0.00273596782982881,0,0,0,0,0,0,0,0
"1700028E10Rik",0.00330990326970264,0,0,0,0,0,0.00425827439369849,0.0134215848501563,0,0,0
"1700028J19Rik",0.000585479926251377,0.011172475084111,0,0,0,0,0,0,0,0,0
"1700028K03Rik",0.000292825751920196,0,0,0.00884955752212389,0,0,0,0.00675675675675676,0,0,0
"1700028P14Rik",0.00506336903691383,0.0440551006157557,0.00136986301369863,0,0,0,0,0,0.571428571428572,0,0
"1700029I15Rik",0.00155975466921242,0.00561797752808989,0.0135971588026383,0.00884955752212389,0,0.00591715976331361,0.00213370616079098,0,0,0,0
"1700029J07Rik",0.00185296170466376,0,0.00273596782982881,0.00884955752212389,0,0.100309946463793,0.0105771515251202,0.027027027027027,0.0751020408163265,0,0
"1700030J22Rik",0.00409100071160852,0.0166634926680632,0.00136986301369863,0.0175410872313527,0,0,0.000712250712250712,0,0.122857142857143,0.00497512437810945,0
"1700030K09Rik",0.0104676055506723,0.0279629276963118,0.0121934720108236,0.0344500632111252,0,0.0288813750352212,0.0388402548060424,0.0134215848501563,0.0575510204081633,0.00497512437810945,0.0251989389920424
"1700034H15Rik",0.000877962522993542,0,0.00820038709434955,0,0,0,0.00213370616079098,0,0,0.00497512437810945,0
"1700034I23Rik",0.000683221959460677,0,0.00136986301369863,0,0,0,0,0,0,0,0
"1700034P13Rik",0.000780487388256044,0,0,0,0,0,0,0.00675675675675676,0,0,0
"1700037C18Rik",0.00777193098546942,0.0166634926680632,0.0121934720108236,0.0175410872313527,0,0.0407861369399831,0.0189759225753524,0.00675675675675676,0.148571428571429,0.00497512437810945,0.0251989389920424
