"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"0610040B10Rik",0.00663868007419701,0.0337078651685393,0.0178082191780822,0.0176991150442478,0,0.0532544378698225,0.0384615384615385,0.00675675675675676,0.12,0.00497512437810945,0
"0610040F04Rik",0.00205018061114908,0.00561797752808989,0.00273972602739726,0,0,0,0.00213675213675214,0.00675675675675676,0,0,0
"0610040J01Rik",0.000195255296299912,0.00561797752808989,0,0.00884955752212389,0.046875,0.0118343195266272,0.26994301994302,0.00675675675675676,0,0,0
"0610043K17Rik",0.00751732890754662,0.00561797752808989,0.00273972602739726,0.00884955752212389,0,0,0,0.0405405405405405,0.04,0,0
"1110001J03Rik",0.195645806892512,0.280898876404494,0.391780821917808,0.831858407079646,0.046875,0.289940828402367,0.594729344729345,0.587837837837838,0.36,0.189054726368159,0.324786324786325
"1110002L01Rik",0.0189397637410915,0.0674157303370786,0.0273972602739726,0.0973451327433628,0.015625,0.0414201183431953,0.0277777777777778,0.0202702702702703,0.02,0.00995024875621891,0.0341880341880342
"1110002O04Rik",0.000781021185199648,0,0,0,0,0,0,0,0,0,0
"1110004E09Rik",0.0986039246314556,0.376404494382022,0.153424657534247,0.31858407079646,0.09375,0.142011834319527,0.22008547008547,0.121621621621622,1.4,0.149253731343284,0.11965811965812
"1110004F10Rik",0.22210289954115,0.668539325842697,0.224657534246575,0.699115044247788,0.171875,0.378698224852071,0.373219373219373,0.148648648648649,0.52,0.253731343283582,0.487179487179487
"1110007C09Rik",0.0139607536854437,0.0224719101123595,0.0287671232876712,0.0619469026548673,0.078125,0.42603550295858,0.0584045584045584,0.0675675675675676,0.2,0.223880597014925,0.145299145299145
"1110008F13Rik",0.209801815874256,0.331460674157303,0.0821917808219178,0.265486725663717,0.15625,0.289940828402367,0.240740740740741,0.22972972972973,0.16,0.194029850746269,0.196581196581197
"1110008L16Rik",0.00253831885189886,0.0280898876404494,0.00684931506849315,0.0176991150442478,0,0.0177514792899408,0.00783475783475784,0,0.02,0.114427860696517,0.00854700854700855
